NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Hubcycle,Offers a hub which converts fruit and vegetable wastes into innovative raw materials for personal care and food industries,Europe,France,Avignon,43.9099208,4.8909073,5.0,food waste;sustainable development goals;climate tech;circular economy;recycling;waste reduction,food;energy,waste solution,early growth,Plug and Play;Daphni;Swen Capital Partners;Sofiane Ammar;Cedric Sellin;Citizen Capital;Bleu Capital;Plug & Play Topeka,"venture_capital;venture_capital;venture_capital;angel;angel;venture_capital;family_office,venture_capital;accelerator",Marseille
Onyx Solar,The global leader in solar PV glass for buildings,Europe,Spain,Avila,40.6698213,-4.682602,2.64,solar energy;sustainable development goals;smart building;climate tech,real estate;energy,clean energy,late growth,JME Ventures;European Innovation Council;Eurostars SME programme;Horizon 2020 FTI (Fast Track to Innovation);European Innovation Council and SMEs Executive Agency (EISMEA),venture_capital;government;government;government;government,Madrid
Fundeen,Invest in renewable energy projects from just € 500,Europe,Spain,Avila,40.6541945,-4.6964095,1.86,crowdfunding;sustainable development goals;climate tech;climate fintech;impact investing,fintech;energy,wealth management,early growth,Adrián Bautista Sánchez;Nacho Bautista Sánchez;Institute for Energy Diversification and Saving;Grupo Enhol;EIT Climate-KIC;Google for Startups Accelerator,angel;angel;service provider;corporate;accelerator;accelerator,Madrid
BHSL,Turning chicken manure into energy,Europe,Ireland,Ballagh,52.37682,-9.053236,7.0,chicken;primary production;biomass;sustainable development goals;climate tech,food;energy,agritech,early growth,Beechbrook Capital,venture_capital,Limerick
Floating Power Point,"Designs, develops and provides a unique floating patented platform for wind and wave energy",Europe,Denmark,Bandholm,54.8346439,11.4798798,1.39,innovation radar;sustainable development goals;wind energy;hydropower;marine energy;climate tech;bluetech;blue economy,energy,clean energy;water,early growth,European Innovation Council;Eurostars SME programme,government;government,Odense
Smalle Technologies,System of electric power generation from sea waves,Europe,Spain,Barcelona,41.3850639,2.1734035,2.57,sustainable development goals;hydropower;climate tech,energy,clean energy;water,seed,Crowdcube;European Innovation Council;EIT InnoEnergy;REPSOL Foundation;University of Barcelona,"crowdfunding;government;venture_capital;corporate_venture_fund,venture_capital;university",Barcelona
Millor energy solutions,"Design, development and manufacturing of  World best of its class battery packs for hybrid and electric vehicles in medium series productions",Europe,Spain,Barcelona,41.4715315,2.1352039,1.25,eic;sustainable development goals;lithium ion batteries;ev battery;ev battery production;electric mobility;battery management system,energy;transportation,energy storage;maintenance,seed,European Innovation Council,government,Barcelona
TAPP Water,"Creates comfortable, sustainable, and affordable products that eliminate the need for bottled water consumption",Europe,Spain,Barcelona,41.3850639,2.1734035,5.84,water treatment;sustainable development goals;climate tech,energy;home living,water,early growth,Primer;European Innovation Council;Bluewater;Yabeo Capital;Bluewater,accelerator;government;corporate;venture_capital;company,Barcelona
Holaluz,Online electricity retailer in Spain,Europe,Spain,Barcelona,41.38065,2.18554,4.3,sustainable development goals;retail;industrial technology;climate tech;outsourcing;b corp,energy,energy providers,late growth,Axon Partners Group;ENISA,"private_equity,venture_capital;venture_capital",Barcelona
Bioo,"Bioo generates electricity from nature. In addition to powering small appliances at home, Bioo Sensor offers a patented solution for IoT in agriculture that is cheaper, more autonomous, more reliable, and more sustainable. With numerous awards and backing from the EU, Bioo is now seeking to grow exponentially",Europe,Spain,Barcelona,41.3850639,2.1734035,4.27,sustainable development goals;climate tech,energy,clean energy,early growth,SeedRocket;Inkemia;European Innovation Council;Horizon 2020 FET (Future and Emerging Technologies);SociosInversores;WA4STEAM;SEK Lab EdTech Accelerator;European Commission;Francisco Espinosa;Marta Huidobro;Pablo Carrallo;JuanJosé Mostazo Salazar;Tensor Ventures;Levels Up Ventures;FX Street,accelerator;corporate;government;government;corporate;angel_fund;accelerator;government;angel;angel;angel;angel;venture_capital;venture_capital;corporate,Barcelona
Submer Technologies,Immersion Cooling Solution for Data Centers,Europe,Spain,Barcelona,41.3661865,2.1164942,47.06,cooling tech;sustainable development goals;climate tech;novel energy;other categories novel energy,energy;hosting,energy efficiency,late growth,European Innovation Council;Mundi Ventures;Big Sur Ventures;Lánzate;Plug and Play;Norrsken VC;Planet First Partners;Andreas Mihalovits;Tim Reynolds;Norrsken Foundation;Plug & Play Topeka,government;venture_capital;venture_capital;accelerator;venture_capital;venture_capital;venture_capital;angel;angel;non-profit;accelerator,Barcelona
SolarMente,"Makes residential solar power simple for any homeowner by combining hardware, installation, warranties, financing, insurance, and ongoing technical support",Europe,Spain,Barcelona,41.4064913,2.1928684,26.91,solar energy;sustainable development goals;climate tech;insurtech related;green buildings;urban tech,energy,clean energy,early growth,Y Combinator;Global Founders Capital;Soma Capital;Plug and Play;Plug & Play Topeka;Telegraph Hill Capital;Unruly Capital;GNE Finance,accelerator;venture_capital;venture_capital;venture_capital;accelerator;venture_capital;venture_capital;private_equity,Barcelona
Wallbox,Wallbox creates smart charging and energy management solutions to advance electric vehicle adoption and sustainable energy use,Europe,Spain,Barcelona,41.3558943,2.1412212,196.86,ev charging hardware;ev charging software;sustainable development goals;verified unicorns and $1b exits;spac ipo closed;ev charging;climate tech;electric mobility;energy management system,energy;transportation,energy efficiency;mobility,late growth,Iberdrola;Seaya;Endeavor Catalyst;Cathay Innovation;WIND Ventures;Cathay Capital;Plug and Play;Kensington Capital Acquisition Corp II;Kensington Capital Partners;Janus Henderson Investors;Luxor Capital;Endeavor;Desafia;BBVA,"corporate;venture_capital;venture_capital;venture_capital;venture_capital;private_equity;venture_capital;corporate;private_equity,venture_capital;venture_capital;venture_capital;venture_capital;accelerator;corporate",Barcelona
Picvisa,"Machine vision systems for sorting materials, with high focus on the recycling industry",Europe,Spain,Barcelona,41.3850639,2.1734035,1.2,plastic;recycling;waste reduction;sustainable development goals;industrial robotics;industrial technology;waste treatment robots;climate tech;circular economy;plastic pollution,energy;robotics,waste solution,early growth,European Innovation Council;European Innovation Council and SMEs Executive Agency (EISMEA),government;government,Barcelona
X1 Wind,Developing floating platforms for offshore wind turbines,Europe,Spain,Barcelona,41.3850639,2.1734035,4.22,wind energy;sustainable development goals;eicfund;climate tech;novel energy;other categories novel energy;bluetech,energy,clean energy,early growth,EIT InnoEnergy;European Commission;European Innovation Council;Technip Energies;EIC Fund (European Innovation Council Fund),venture_capital;government;government;corporate;venture_capital,Barcelona
Mitiga Solutions,"Mitigates natural hazards with science, high-performance computing and artificial intelligence",Europe,Spain,Barcelona,41.37838,2.1314,3.36,risk management;aviation & aerospace;esa;space tech;esa sme;space downstream;space tech to environment;climate risk;pandc insurance;climate fintech;sustainable development goals;climate tech,fintech;energy,insurance,early growth,Sabadell Venture Capital;European Innovation Council;Eurostars SME programme;Barcelona Supercomputing Center - Centro Nacional de Supercomputación;Polytechnic University Of Catalonia,corporate_venture_fund;government;government;government;university,Barcelona
Sadako Technologies,Start-up specialized in AI and robotics for the waste and recycling industries,Europe,Spain,Barcelona,41.3568606,2.1106617,2.16,sustainable development goals;nuclear fission;industrial connectivity;industrial technology;waste treatment robots;industrial robotics;climate tech;novel energy;circular economy;recycling,energy;robotics,waste solution,early growth,European Innovation Council;Creas;Asimov Ventures;Nvidia;EIT InnoEnergy,"government;private_equity,venture_capital;venture_capital;corporate;venture_capital",Barcelona
Aeinnova,Thermoelectric energy harvesting solutions to transform industrial waste heat into electricity for energy efficiency and self-powered wireless IoT solutions,Europe,Spain,Barcelona,41.5640456,2.0020104,4.47,industrial iot;sustainable development goals;industrial connectivity;industrial technology;smart cities;infrastructure;industrial automation;industry 4.0;cloud computing;predictive maintenance;machinery;energy tech;climate tech;novel energy;waste heat recovery;other categories novel energy;circular economy,energy,oil & gas;energy efficiency;waste solution,early growth,EIT InnoEnergy;Horizon 2020 FET (Future and Emerging Technologies);REPSOL Foundation;Banco Sabadell;European Commission;BIND 4.0 - Basque Open Innovation Platform;Plug and Play;European Innovation Council and SMEs Executive Agency (EISMEA);Autonomous University of Barcelona (UAB);European Innovation Council;Plug & Play Topeka;EIC Fund (European Innovation Council Fund),"venture_capital;government;corporate_venture_fund,venture_capital;corporate;government;accelerator;venture_capital;government;university;government;accelerator;venture_capital",Barcelona
FlexiDAO,A software as a service that helps Energy Retailers to sell cleaner and cheaper energy by two different services,Europe,Spain,Barcelona,41.38804,2.17001,7.1,sustainable development goals;climate tech,energy,energy providers;clean energy;energy efficiency,early growth,EIT InnoEnergy;SET Ventures;Acciona I'mnovation;Intelectium;KIC InnoEnergy SE;Google;Microsoft Climate Innovation Fund,venture_capital;venture_capital;accelerator;accelerator;corporate;corporate;corporate_venture_fund,Barcelona
Bold Valuable Technology,"Development of high-performance battery technology for aviation, automotive and stationary applications",Europe,Spain,Barcelona,41.3828939,2.1774322,2.3,ev battery;aviation & aerospace;sustainable development goals;electric mobility,energy;transportation,vehicle production;energy storage,late growth,Josep Maria Tarragó;David Vilanova,angel;angel,Barcelona
DEXMA,,Europe,Spain,Barcelona,41.4366574,2.1689587,3.93,smart grid;sustainable development goals;energy tech;industrial technology;climate tech,energy;enterprise software,energy efficiency;energy storage,late growth,JME Ventures;Greg Lee;Inveready;CDTI;Estiriac SL;Boyser SRL;European Innovation Council;EUREKA Network Projects,venture_capital;angel;venture_capital;government & non-profit;venture_capital;venture_capital;government;non-profit,Barcelona
Watly,Watly builds the most advanced and beautifully designed solar water purifiers and micro-powers station in the world.,Europe,Italy,Bari,41.1007588,16.7848407,1.42,solar energy;sustainable development goals;desalination;climate tech;bluetech,energy,clean energy;water,seed,European Innovation Council;Startupbootcamp,government;accelerator,Rome
Crocus Labs,"Crocus Lab is an integrated horticulture luminaire system company, producing LEDs using semiconductor technologies. It reduces the costs of operating indoor farms while improving crop quality",Europe,Germany,Berlin,52.5104521,13.4528216,3.2,greenhouse;vertical farming;sustainable development goals;climate tech,food;energy,agritech;energy efficiency,seed,High-Tech Gründerfonds;REAKTOR.BERLIN;EIC Fund (European Innovation Council Fund);European Innovation Council;Brandenburg Kapital GmbH;Brandenburg Kapital,venture_capital;accelerator;venture_capital;government;venture_capital;venture_capital,Berlin
